Time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	GyroX(°/s)	GyroY(°/s)	GyroZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	MagX(μt)	MagY(μt)	MagZ(μt)	Temp(℃)	Q0()	Q1()	Q2()	Q3()	Version number()	
13:23:48.157	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.053	0.042	-0.996	11.353	8.301	-1.892	177.446	-0.786	96.735	21.707	0.227	36.787	23.860	-0.014	-0.674	-0.736	-0.061	10080.1.3	
13:23:48.254	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.003	0.056	-1.026	5.615	4.089	1.831	178.462	-1.307	96.608	21.707	0.227	36.787	23.860	-0.006	-0.664	-0.747	-0.019	10080.1.3	
13:23:48.359	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.024	0.048	-0.990	-0.122	10.010	11.963	178.561	-2.159	95.850	20.807	0.96	37.16	23.860	-0.006	-0.664	-0.747	-0.019	10080.1.3	
13:23:48.454	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.034	0.004	-0.984	4.333	6.409	5.493	178.753	-3.032	94.922	20.807	0.96	37.16	23.860	-0.006	-0.664	-0.747	-0.019	10080.1.3	
13:23:48.560	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.102	0.052	-1.066	0.671	5.493	2.991	178.506	-2.867	94.340	20.807	0.96	37.16	23.860	0.009	-0.679	-0.734	-0.026	10080.1.3	
13:23:48.653	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.023	0.065	-1.025	3.052	-21.179	-7.813	178.665	-1.862	94.537	21.167	0.553	37.053	23.860	0.009	-0.679	-0.734	-0.026	10080.1.3	
13:23:48.762	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.004	0.087	-0.978	6.714	-7.019	-10.620	178.956	-0.538	95.971	21.167	0.553	37.053	23.860	0.009	-0.679	-0.734	-0.026	10080.1.3	
13:23:48.853	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.009	0.016	-1.008	1.465	-6.897	-10.742	179.236	-0.082	97.114	21.167	0.553	37.053	23.860	-0.004	-0.666	-0.746	-0.008	10080.1.3	
13:23:48.966	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.070	-0.014	-0.979	4.639	1.648	-7.629	179.841	-0.434	98.036	22.013	2.793	36.273	23.860	-0.004	-0.666	-0.746	-0.008	10080.1.3	
13:23:49.101	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.007	-0.023	-0.978	-1.099	-7.935	-28.564	179.967	0.049	99.525	22.013	2.793	36.273	23.860	-0.003	-0.634	-0.774	0.001	10080.1.3	
13:23:49.192	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.104	-0.044	-0.958	4.639	-2.808	-43.091	-179.852	0.308	102.821	22.013	2.793	36.273	23.860	-0.003	-0.634	-0.774	0.001	10080.1.3	
13:23:49.281	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.139	-0.021	-0.992	14.099	-5.554	-62.622	-179.083	0.895	108.248	21.433	6.273	35.653	23.860	-0.003	-0.634	-0.774	0.001	10080.1.3	
13:23:49.372	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.066	-0.072	-1.079	4.456	-15.320	-35.217	-177.698	1.972	112.901	21.433	6.273	35.653	23.860	-0.003	-0.634	-0.774	0.001	10080.1.3	
13:23:49.467	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.043	-0.091	-1.076	-10.132	3.540	-13.550	-177.863	2.769	115.137	21.433	6.273	35.653	23.860	-0.011	-0.539	-0.842	0.030	10080.1.3	
13:23:49.595	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.051	-0.051	-0.989	-15.320	11.230	-7.507	-179.209	2.236	115.966	19.987	9.667	35.333	23.860	-0.011	-0.539	-0.842	0.030	10080.1.3	
13:23:49.642	WT901BLE67(C1:7D:B8:9B:C4:D7)	0.007	-0.018	-0.945	-0.122	5.005	-5.127	-179.984	1.423	116.411	19.987	9.667	35.333	23.860	-0.011	-0.539	-0.842	0.030	10080.1.3	
13:23:49.778	WT901BLE67(C1:7D:B8:9B:C4:D7)	-0.012	-0.065	-1.006	9.338	3.784	-10.925	-179.209	0.901	116.911	19.987	9.667	35.333	23.860	-0.003	-0.522	-0.853	0.010	10080.1.3	
